"","species","sizemax","sst","k_m","k_sd"
"4178","Cromileptes_altivelis",95,24,0.137221267679237,0.0322288436956059
"4179","Cromileptes_altivelis",95,25,0.140135884625755,0.0326197515158251
"4180","Cromileptes_altivelis",95,26,0.143135739960596,0.033124106959396
"4181","Cromileptes_altivelis",95,27,0.146223695168649,0.0337511984287728
"4182","Cromileptes_altivelis",95,28,0.149402719192579,0.0345099264470905
"4183","Cromileptes_altivelis",95,29,0.152675892829202,0.0354086751607237
"4184","Dermatolepis_dermatolepis",100,24,0.0817227074245178,0.00958340922086411
"4185","Dermatolepis_dermatolepis",100,25,0.0834649512306806,0.00949505797167887
"4186","Dermatolepis_dermatolepis",100,26,0.0852581494308076,0.00951649760451822
"4187","Dermatolepis_dermatolepis",100,27,0.0871040171360482,0.00966254526185487
"4188","Dermatolepis_dermatolepis",100,28,0.0890043342273937,0.00994456648229638
"4189","Diplectrum_radiale",26,22,0.253552814433453,0.0301012079671533
"4190","Diplectrum_radiale",26,24,0.26445632567043,0.0293326304161269
"4191","Diplectrum_radiale",26,27,0.282039981527478,0.0310070051902641
"4192","Diploprion_bifasciatum",25,24,0.257378356871648,0.0272927043377269
"4193","Diploprion_bifasciatum",25,25,0.262899894670026,0.0271861123290003
"4194","Diploprion_bifasciatum",25,26,0.268583367279987,0.0274805905338901
"4195","Diploprion_bifasciatum",25,27,0.274434239759962,0.0282186946511949
"4196","Diploprion_bifasciatum",25,28,0.280458184008555,0.0294259931193952
"4197","Diploprion_bifasciatum",25,29,0.286661087317934,0.0311100340736913
"4198","Epinephelus_adscensionis",61,25,0.11256397249934,0.020521368711685
"4199","Epinephelus_adscensionis",61,27,0.117545961119825,0.0216417139122353
"4200","Epinephelus_adscensionis",61,28,0.120148292630043,0.0223916739075987
"4201","Epinephelus_bilobatus",33,25,0.200993051328848,0.0396091756125154
"4202","Epinephelus_bilobatus",33,26,0.20543052964547,0.0408858122207989
"4203","Epinephelus_bilobatus",33,27,0.210000495124463,0.042385296444566
"4204","Epinephelus_bilobatus",33,28,0.214707484703887,0.0441151760748033
"4205","Epinephelus_bilobatus",33,29,0.219556208877328,0.046081648136725
"4206","Epinephelus_clippertonensis",61,28,0.14659125953927,0.014017667595224
"4207","Epinephelus_coeruleopunctatus",76,25,0.120443945090376,0.0129380417791789
"4208","Epinephelus_coeruleopunctatus",76,26,0.123024319553283,0.0128675558612907
"4209","Epinephelus_coeruleopunctatus",76,29,0.13122963771994,0.0138338670190493
"4210","Epinephelus_coioides",120,24,0.0907081606848802,0.022014267950175
"4211","Epinephelus_coioides",120,26,0.0946376992606324,0.0227121106485955
"4212","Epinephelus_coioides",120,27,0.0966895610373368,0.0231793177992994
"4213","Epinephelus_coioides",120,28,0.0988021038564469,0.02373265589543
"4214","Epinephelus_coioides",120,29,0.100977385349526,0.0243772375598233
"4215","Epinephelus_corallicola",49,25,0.166248501253408,0.0204266801510966
"4216","Epinephelus_corallicola",49,26,0.169803595036972,0.0203731335743067
"4217","Epinephelus_corallicola",49,28,0.177229550260391,0.0209519835723643
"4218","Epinephelus_corallicola",49,29,0.181107555612766,0.0216282267952932
"4219","Epinephelus_cyanopodus",122,21,0.0734809207799661,0.0204327300486859
"4220","Epinephelus_cyanopodus",122,22,0.0750207386990152,0.0206633487855832
"4221","Epinephelus_cyanopodus",122,24,0.0782358255643816,0.021282503419089
"4222","Epinephelus_cyanopodus",122,26,0.081641754730602,0.0221417174867422
"4223","Epinephelus_cyanopodus",122,27,0.0834203447763254,0.0226722989534501
"4224","Epinephelus_cyanopodus",122,28,0.085251640642437,0.0232758701977065
"4225","Epinephelus_cyanopodus",122,29,0.087137440788702,0.023956532459723
"4226","Epinephelus_daemelii",200,21,0.0483950256417532,0.00719368970053933
"4227","Epinephelus_daemelii",200,22,0.0494005495820749,0.00702539836494452
"4228","Epinephelus_fasciatus",40,21,0.187295755188692,0.0525439785070253
"4229","Epinephelus_fasciatus",40,22,0.191235115071971,0.0531991636825235
"4230","Epinephelus_fasciatus",40,24,0.199460251945412,0.0549030286797893
"4231","Epinephelus_fasciatus",40,25,0.203753778792844,0.055972175342891
"4232","Epinephelus_fasciatus",40,26,0.208173353528297,0.0571996888360359
"4233","Epinephelus_fasciatus",40,27,0.212723223568238,0.058595550079112
"4234","Epinephelus_fasciatus",40,28,0.217407796399357,0.0601695145949316
"4235","Epinephelus_fasciatus",40,29,0.222231646154993,0.0619310731537103
"4236","Epinephelus_fuscoguttatus",120,27,0.0805867491256358,0.0174093226593386
"4237","Epinephelus_fuscoguttatus",120,28,0.0823181400774573,0.0177019741683629
"4238","Epinephelus_fuscoguttatus",120,29,0.0841002724931854,0.0180667571222115
"4239","Epinephelus_guttatus",76,27,0.0821723405833753,0.0172867302606998
"4240","Epinephelus_guttatus",76,28,0.083969653581177,0.0177105848958461
"4241","Epinephelus_hexagonatus",27.5,25,0.283913689547182,0.10888251311531
